date,approve,disapprove,net,netLo,netHi
2025-01-21,51.62839,39.97147,11.65692,0.10130000000000194,23.21253
2025-01-22,51.62839,39.97147,11.65692,0.10130000000000194,23.21253
2025-01-23,52.44161,43.17908,9.262527,-0.6154500000000027,19.14053
2025-01-24,51.9109,43.42716,8.483742,-0.8051600000000008,17.772620000000003
2025-01-25,51.9109,43.42716,8.483742,-0.8051600000000008,17.772620000000003
2025-01-26,51.60608,43.73387,7.872208,-1.3263999999999996,17.070819999999998
2025-01-27,50.75071,43.54461,7.2061,-1.6287200000000013,16.040909999999997
2025-01-28,50.5603,43.64887,6.91143,-1.8228699999999947,15.64573
2025-01-29,50.45234,43.76417,6.688168,-2.0375200000000007,15.41386
2025-01-30,50.55085,43.67509,6.875759,-1.84131,15.59283
2025-01-31,49.88923,43.76733,6.121899,-2.561700000000002,14.805489999999999
2025-02-01,49.77596,43.94174,5.834221,-2.7895600000000016,14.458019999999998
2025-02-02,49.56835,44.43734,5.131012,-3.4212500000000006,13.683250000000001
2025-02-03,49.06934,45.00368,4.065659,-4.604140000000001,12.73545
2025-02-04,48.7685,45.06099,3.707512,-4.976850000000006,12.391870000000004
2025-02-05,48.64521,46.07553,2.569679,-6.092779999999998,11.23216
2025-02-06,48.58174,45.97654,2.605202,-5.968339999999998,11.178739999999998
2025-02-07,48.93139,46.16331,2.768078,-5.823419999999999,11.359580000000001
2025-02-08,48.93139,46.16331,2.768078,-5.823419999999999,11.359580000000001
2025-02-09,49.20401,46.42096,2.783051,-5.872959999999999,11.439050000000002
2025-02-10,49.28339,46.40575,2.87764,-5.766460000000002,11.52176
2025-02-11,48.9805,46.40917,2.571331,-6.218709999999994,11.36137
2025-02-12,49.07721,46.33083,2.74638,-6.036610000000003,11.52935
2025-02-13,49.46926,46.35511,3.114151,-5.683149999999998,11.911459999999998
2025-02-14,49.78413,46.23433,3.549801,-5.175239999999995,12.274839999999998
2025-02-15,49.78413,46.23433,3.549801,-5.175239999999995,12.274839999999998
2025-02-16,49.81136,46.47601,3.33535,-5.45881,12.1295
2025-02-17,48.97882,46.80212,2.176701,-6.5319199999999995,10.88534
2025-02-18,48.83451,47.10556,1.728951,-7.011409999999998,10.469299999999997
2025-02-19,48.81781,47.19585,1.62196,-7.101520000000001,10.34545
2025-02-20,48.57818,47.20779,1.370388,-7.472969999999997,10.21376
2025-02-21,48.70716,47.15341,1.553749,-7.243830000000003,10.351319999999994
2025-02-22,48.70716,47.15341,1.553749,-7.243830000000003,10.351319999999994
2025-02-23,48.52215,47.25496,1.267189,-7.656599999999997,10.190960000000004
2025-02-24,48.62353,47.35507,1.268463,-7.6285799999999995,10.165490000000005
2025-02-25,48.19157,46.50638,1.685192,-7.414569999999998,10.784939999999999
2025-02-26,47.69238,46.84249,0.8498878,-8.095579999999998,9.79535
2025-02-27,48.16257,47.08207,1.080502,-7.797350000000002,9.95834
2025-02-28,48.33131,47.11463,1.216679,-7.588540000000002,10.021900000000002
2025-03-01,48.26917,47.13979,1.129379,-7.671859999999995,9.930599999999998
2025-03-02,48.24833,47.25283,0.9954987,-7.737850000000002,9.728839999999998
2025-03-03,48.22008,47.3167,0.9033813,-7.834530000000001,9.641299999999994
2025-03-04,48.08179,47.43499,0.646801,-8.115740000000002,9.409329999999997
2025-03-05,48.04528,47.49095,0.5543289,-8.184350000000002,9.293
2025-03-06,48.04528,47.49095,0.5543289,-8.184350000000002,9.293
2025-03-07,48.10084,47.34626,0.7545815,-7.798500000000004,9.307650000000002
2025-03-08,48.08615,47.32513,0.7610207,-7.806429999999999,9.328479999999999
2025-03-09,48.08615,47.32513,0.7610207,-7.806429999999999,9.328479999999999
2025-03-10,47.87268,48.1039,-0.2312202,-8.858159999999998,8.395719999999997
2025-03-11,48.01125,48.05174,-0.0404892,-8.454079999999998,8.373109999999997
2025-03-12,47.80142,48.4408,-0.6393814,-9.063790000000004,7.785040000000002
2025-03-13,47.34944,49.03124,-1.681797,-10.50658,7.1429899999999975
2025-03-14,47.50919,48.91116,-1.40197,-10.086769999999994,7.282809999999998
2025-03-15,47.72628,48.74337,-1.01709,-9.821649999999998,7.78745
2025-03-16,47.68021,48.91003,-1.22982,-9.966610000000003,7.506990000000002
2025-03-17,47.53214,49.36317,-1.831032,-10.560269999999996,6.898209999999999
2025-03-18,47.55081,49.26982,-1.719009,-10.43123,6.993209999999998
2025-03-19,47.49081,49.65988,-2.169071,-10.78367,6.445530000000005
2025-03-20,47.39563,49.75119,-2.35556,-10.89112,6.1799800000000005
2025-03-21,47.48177,49.65436,-2.172592,-10.7348,6.389609999999998
2025-03-22,47.5351,49.56881,-2.03371,-10.719560000000001,6.652140000000003
2025-03-23,47.52748,49.58065,-2.053169,-10.719430000000003,6.6130799999999965
2025-03-24,47.52706,49.61984,-2.092777,-10.8264,6.640829999999994
2025-03-25,47.48824,49.64067,-2.152431,-10.75985,6.454979999999999
2025-03-26,47.66578,49.38222,-1.716442,-10.406710000000004,6.973839999999996
2025-03-27,47.37044,49.60704,-2.236599,-10.909420000000004,6.4362099999999955
2025-03-28,47.37019,49.59669,-2.226501,-10.857199999999999,6.404200000000003
2025-03-29,47.37019,49.59669,-2.226501,-10.857199999999999,6.404200000000003
2025-03-30,47.60534,49.78962,-2.18428,-10.956620000000001,6.588060000000006
2025-03-31,47.1512,49.71198,-2.56078,-11.454589999999996,6.333040000000004
2025-04-01,47.23803,49.75965,-2.521622,-11.430149999999998,6.386919999999996
2025-04-02,47.01505,50.05616,-3.041111,-11.92228,5.840049999999998
2025-04-03,46.61609,49.86424,-3.24815,-12.24915,5.752839999999999
2025-04-04,46.69425,49.88645,-3.192204,-12.150579999999998,5.7661799999999985
2025-04-05,46.77753,49.48341,-2.705879,-11.750130000000006,6.338359999999994
2025-04-06,46.77753,49.48341,-2.705879,-11.750130000000006,6.338359999999994
2025-04-07,46.59698,49.84406,-3.247078,-12.299710000000005,5.80556
2025-04-08,46.36172,50.16935,-3.807629,-12.55097,4.935720000000003
2025-04-09,45.6713,50.68967,-5.018372,-13.820859999999996,3.7841300000000047
2025-04-10,45.49072,50.68834,-5.19762,-14.225270000000002,3.8300199999999975
2025-04-11,45.52261,50.61037,-5.087761,-14.018549999999998,3.843029999999999
2025-04-12,45.52261,50.61037,-5.087761,-14.018549999999998,3.843029999999999
2025-04-13,45.69746,50.76309,-5.065628,-13.977179999999997,3.8459299999999956
2025-04-14,45.50497,50.84331,-5.338341,-13.893160000000002,3.216479999999997
2025-04-15,45.77077,50.49058,-4.71981,-13.517030000000005,4.077399999999997
2025-04-16,45.57057,50.554,-4.983429,-13.915150000000004,3.948279999999997
2025-04-17,45.54875,50.78891,-5.240158,-13.594000000000001,3.113679999999995
2025-04-18,45.62852,50.84605,-5.217529,-13.576709999999999,3.1416600000000017
2025-04-19,45.62852,50.84605,-5.217529,-13.576709999999999,3.1416600000000017
2025-04-20,45.57781,50.58267,-5.00486,-13.44652,3.4368100000000013
2025-04-21,45.57188,50.71266,-5.140781,-13.903089999999999,3.62153
2025-04-22,45.37512,50.80691,-5.431793,-14.107619999999997,3.2440500000000014
2025-04-23,44.77065,51.75135,-6.980701,-16.04103,2.0796199999999985
2025-04-24,44.65628,51.82948,-7.173199,-16.03866,1.6922700000000006
2025-04-25,44.39426,52.15824,-7.763981,-16.541739999999997,1.013770000000001
2025-04-26,44.38961,52.4029,-8.01329,-17.064590000000003,1.0380299999999991
2025-04-27,44.13982,53.19659,-9.05677,-18.23491,0.12134999999999962
2025-04-28,44.07494,53.3185,-9.243561,-18.3465,-0.14062999999999448
2025-04-29,43.58434,53.24288,-9.658543,-18.486380000000004,-0.8306900000000041
2025-04-30,43.76714,52.75912,-8.991982,-17.884859999999996,-0.09911999999999921
2025-05-01,43.91924,52.67301,-8.753773,-17.750930000000004,0.24337000000000586
2025-05-02,44.16411,52.42725,-8.263142,-17.313319999999997,0.7870500000000007
2025-05-03,44.17439,51.80098,-7.626591,-16.99111,1.7379399999999947
2025-05-04,44.17439,51.80098,-7.626591,-16.99111,1.7379399999999947
2025-05-05,44.19829,51.47165,-7.273357,-16.683969999999995,2.1372500000000016
2025-05-06,44.20853,51.52731,-7.318779,-16.798699999999997,2.16113
