代码,名称,策略,分类,最新价,J值,短期趋势线,多空线,趋势强度%,放量倍数,放量距今,近20日回撤%,距年高跌幅%,日均成交额亿,止损位,目标位,盈亏比,score
600663,陆家嘴,碗口反弹,回落碗中,8.98,-5.0,9.17,8.35,9.88,3.13,21,7.9,25.8,2.23,8.18,9.75,0.96,84.0
301047,义翘神州,碗口反弹,回落碗中,101.91,-16.1,110.76,93.37,18.62,4.45,18,26.9,26.9,14.19,91.5,139.49,3.61,84.0
688505,复旦张江,碗口反弹,回落碗中,8.19,-10.8,8.28,7.93,4.5,4.55,11,10.0,29.9,1.15,7.77,9.1,2.17,83.7
002346,柘中股份,碗口反弹,回落碗中,20.65,-10.1,21.77,20.49,6.21,3.9,9,24.9,24.9,2.58,19.29,27.48,5.02,82.3
601199,江南水务,碗口反弹,回落碗中,6.17,-1.2,6.2,6.01,3.24,5.46,14,9.0,9.0,1.17,5.89,6.78,2.18,81.9
688238,和元生物,碗口反弹,回落碗中,6.86,10.5,6.98,6.56,6.32,4.45,6,15.3,25.4,2.5,6.36,8.1,2.48,81.5
300725,药石科技,碗口反弹,回落碗中,45.5,-16.8,48.59,43.74,11.09,3.51,15,20.7,20.7,14.63,42.27,57.35,3.67,81.0
300363,博腾股份,碗口反弹,回落碗中,19.75,-18.0,20.65,19.16,7.74,3.19,15,19.3,35.0,8.89,18.32,24.48,3.31,81.0
688265,南模生物,碗口反弹,回落碗中,40.2,7.7,42.4,39.87,6.37,6.0,15,23.3,44.7,1.57,36.79,52.42,3.58,80.6
002762,金发拉比,碗口反弹,回落碗中,9.45,-4.3,9.72,9.08,7.05,2.19,12,16.7,16.7,1.52,8.9,11.34,3.44,80.0
603882,金域医学,碗口反弹,靠近多空线,27.42,-13.0,29.17,27.76,5.05,2.71,5,15.2,59.0,3.87,26.07,32.32,3.63,77.6
688046,药康生物,碗口反弹,回落碗中,32.5,-6.0,34.7,29.63,17.08,2.23,14,25.2,25.2,6.92,29.04,43.47,3.17,77.0
300759,康龙化成,碗口反弹,回落碗中,43.78,-8.9,46.07,39.82,15.69,2.6,18,18.3,18.3,37.5,39.02,53.57,2.06,77.0
300404,博济医药,碗口反弹,回落碗中,13.24,-17.4,13.73,11.94,14.96,2.62,15,26.4,26.4,7.89,11.7,17.99,3.08,77.0
301080,百普赛斯,碗口反弹,回落碗中,82.5,-11.9,83.23,67.81,22.74,2.42,15,19.7,19.7,15.75,66.45,102.79,1.26,77.0
