排名,代码,名称,策略,类型,最新价,今日涨幅%,前低支撑,破底最低,破底深度%,收回幅度%,站稳天数,距60日高跌幅%,距年高跌幅%,历史分位%,量比vs5日均,MA5,MA20,止损位,目标位,盈亏比,score,命中策略,命中数,最强分,扫描总数,有效K线数,盈亏比不足,分类,J值,短期趋势线,多空线,趋势强度%,放量倍数,放量距今,近20日回撤%,日均成交额亿
1,688520,神州细胞,破底翻,破底翻,36.43,-1.22,35.36,33.15,6.3,3.0,19.0,16.3,59.1,15.6,0.54,36.65,37.47,34.3,43.55,3.34,84.0,破底翻/碗口反弹,2,72.0,4919,4583,False,靠近多空线,-0.8,37.56,37.32,0.64,3.17,6.0,16.3,1.53
2,301047,义翘神州,碗口反弹,,101.91,,,,,,,,26.9,,,,,91.5,139.49,3.61,84.0,碗口反弹,1,84.0,4919,4583,False,回落碗中,-16.1,110.76,93.37,18.62,4.45,18.0,26.9,14.19
3,688505,复旦张江,碗口反弹,,8.19,,,,,,,,29.9,,,,,7.77,9.1,2.17,83.7,碗口反弹,1,83.7,4919,4583,False,回落碗中,-10.8,8.28,7.93,4.5,4.55,11.0,10.0,1.15
4,002346,柘中股份,碗口反弹,,20.65,,,,,,,,24.9,,,,,19.29,27.48,5.02,82.3,碗口反弹,1,82.3,4919,4583,False,回落碗中,-10.1,21.77,20.49,6.21,3.9,9.0,24.9,2.58
5,601199,江南水务,碗口反弹,,6.17,,,,,,,,9.0,,,,,5.89,6.78,2.18,81.9,碗口反弹,1,81.9,4919,4583,False,回落碗中,-1.2,6.2,6.01,3.24,5.46,14.0,9.0,1.17
6,688238,和元生物,碗口反弹,,6.86,,,,,,,,25.4,,,,,6.36,8.1,2.48,81.5,碗口反弹,1,81.5,4919,4583,False,回落碗中,10.5,6.98,6.56,6.32,4.45,6.0,15.3,2.5
7,300725,药石科技,碗口反弹,,45.5,,,,,,,,20.7,,,,,42.27,57.35,3.67,81.0,碗口反弹,1,81.0,4919,4583,False,回落碗中,-16.8,48.59,43.74,11.09,3.51,15.0,20.7,14.63
8,300363,博腾股份,碗口反弹,,19.75,,,,,,,,35.0,,,,,18.32,24.48,3.31,81.0,碗口反弹,1,81.0,4919,4583,False,回落碗中,-18.0,20.65,19.16,7.74,3.19,15.0,19.3,8.89
9,688265,南模生物,碗口反弹,,40.2,,,,,,,,44.7,,,,,36.79,52.42,3.58,80.6,碗口反弹,1,80.6,4919,4583,False,回落碗中,7.7,42.4,39.87,6.37,6.0,15.0,23.3,1.57
10,002590,万安科技,破底翻,破底翻,9.77,2.09,9.33,8.56,8.3,4.7,23.0,23.1,49.2,5.6,1.99,9.56,9.54,9.05,12.7,4.07,80.0,破底翻,1,80.0,4919,4583,False,,,,,,,,,
