date,open,high,low,close,volume
2024-02-05,9.59,9.59,8.63,9.03,5944134.0
2024-02-06,8.5,9.82,8.33,9.56,4814514.0
2024-02-07,9.47,9.63,8.93,9.2,5431537.0
2024-02-08,9.2,10.12,9.02,10.12,4207374.0
2024-02-19,10.07,11.13,10.0,11.1,5319092.0
2024-02-20,11.0,11.21,10.75,10.86,2932200.0
2024-02-21,10.86,11.42,10.7,11.05,2170173.0
2024-02-22,10.93,11.16,10.8,10.94,1916368.0
2024-02-23,10.94,11.33,10.85,11.3,1943469.0
2024-02-26,11.32,11.58,11.24,11.4,1744900.0
2024-02-27,11.48,11.55,11.21,11.55,1841846.0
2024-02-28,11.48,11.94,10.79,10.79,3450200.0
2024-02-29,10.74,11.52,10.69,11.29,2647547.0
2024-03-01,11.34,11.37,11.11,11.17,2190800.0
2024-03-04,11.35,11.5,11.01,11.35,1965889.0
2024-03-05,11.3,11.5,11.1,11.17,1413000.0
2024-03-06,11.17,11.49,11.07,11.4,1762397.0
2024-03-07,11.41,11.49,10.87,10.94,4549988.0
2024-03-08,10.9,11.03,10.82,10.99,2034240.0
2024-03-11,10.97,11.15,10.93,11.13,1915100.0
2024-03-12,11.13,11.3,10.95,11.24,1779418.0
2024-03-13,11.26,11.36,11.02,11.26,2570688.0
2024-03-14,11.25,11.33,11.0,11.14,1924020.0
2024-03-15,11.13,11.15,10.96,11.14,1614096.0
2024-03-18,11.18,11.37,11.11,11.37,2805460.0
2024-03-19,11.34,12.5,11.22,12.09,7056906.0
2024-03-20,11.86,12.61,11.8,12.36,6115038.0
2024-03-21,12.32,12.54,12.19,12.26,2283148.0
2024-03-22,12.13,12.3,11.9,12.12,2105756.0
2024-03-25,12.36,13.33,12.24,12.82,13448961.0
2024-03-26,12.83,12.98,12.35,12.58,8806053.0
2024-03-27,12.6,12.93,12.3,12.3,4131232.0
2024-03-28,12.29,12.95,12.29,12.6,2961884.0
2024-03-29,12.78,13.29,12.65,13.09,3386864.0
2024-04-01,13.02,13.32,12.9,13.12,4157224.0
2024-04-02,13.02,13.26,12.85,13.03,2945306.0
2024-04-03,13.02,13.24,12.81,13.05,2153020.0
2024-04-08,12.97,13.08,12.61,12.62,1893296.0
2024-04-09,12.6,12.73,12.54,12.61,1593380.0
2024-04-10,12.65,12.73,12.25,12.5,2007762.0
2024-04-11,12.31,12.6,12.24,12.37,1245982.0
2024-04-12,12.3,12.54,12.3,12.33,1184842.0
2024-04-15,12.5,12.59,11.9,12.15,2207388.0
2024-04-16,12.17,12.18,11.55,11.58,2469050.0
2024-04-17,11.85,12.3,11.83,12.29,2873805.0
2024-04-18,12.28,12.81,12.0,12.67,3498524.0
2024-04-19,12.6,13.1,12.51,13.03,3052200.0
2024-04-22,12.9,13.72,12.71,13.55,5251861.0
2024-04-23,13.47,13.66,13.34,13.43,3440306.0
2024-04-24,13.4,13.6,13.28,13.59,2194488.0
2024-04-25,13.48,13.88,13.43,13.58,2566372.0
2024-04-26,13.69,13.73,13.56,13.61,1838608.0
2024-04-29,13.54,13.73,13.34,13.5,3046388.0
2024-04-30,13.52,13.78,13.4,13.64,2322315.0
2024-05-06,13.67,14.05,13.58,13.92,3516473.0
2024-05-07,13.91,14.14,13.76,13.82,1318340.0
2024-05-08,13.95,13.95,13.5,13.55,1167768.0
2024-05-09,13.58,14.03,13.58,13.83,2181700.0
2024-05-10,13.83,14.03,13.69,13.8,1432660.0
2024-05-13,13.8,13.8,13.5,13.61,1391200.0
2024-05-14,13.67,13.74,13.52,13.67,995608.0
2024-05-15,13.72,13.95,13.5,13.54,1402900.0
2024-05-16,13.53,13.82,13.53,13.7,1839368.0
2024-05-17,13.7,13.78,13.52,13.56,1178400.0
2024-05-20,13.7,13.75,13.33,13.51,1935004.0
2024-05-21,13.42,13.66,13.27,13.38,2329380.0
2024-05-22,13.38,13.47,13.2,13.34,1376549.0
2024-05-23,13.2,13.28,13.02,13.11,1259352.0
2024-05-24,13.0,13.23,12.94,13.1,1168076.0
2024-05-27,13.16,13.22,12.92,13.06,1721312.0
2024-05-28,13.08,13.2,12.8,12.98,1915539.0
2024-05-29,13.01,13.01,12.69,12.74,1423400.0
2024-05-30,12.74,12.93,12.67,12.71,1206740.0
2024-05-31,12.51,12.68,12.43,12.47,1584217.0
2024-06-03,12.69,12.69,11.92,12.11,4995564.0
2024-06-04,12.18,12.2,11.8,12.01,2642804.0
2024-06-05,11.92,12.01,11.64,11.64,1796065.0
2024-06-06,11.79,11.79,11.16,11.25,2157956.0
2024-06-07,11.37,11.64,11.29,11.47,1598100.0
2024-06-11,11.42,11.68,11.28,11.55,1649563.0
2024-06-12,11.5,11.87,11.5,11.77,1206837.0
2024-06-13,11.72,12.05,11.67,11.93,1983444.0
2024-06-14,11.85,11.96,11.67,11.86,1752148.0
2024-06-17,12.04,12.04,11.6,11.78,1211980.0
2024-06-18,11.78,11.88,11.67,11.83,1376600.0
2024-06-19,11.61,11.88,11.61,11.75,1260900.0
2024-06-20,11.72,11.86,11.5,11.52,1206700.0
2024-06-21,11.52,11.65,11.33,11.52,1639600.0
2024-06-24,11.37,11.42,10.93,11.01,1637900.0
2024-06-25,11.09,11.28,10.93,11.14,1229676.0
2024-06-26,11.16,11.55,11.06,11.51,1054265.0
2024-06-27,11.51,11.59,11.27,11.45,1226000.0
2024-06-28,11.51,11.62,11.29,11.48,1362052.0
2024-07-01,11.5,11.77,11.45,11.71,1403996.0
2024-07-02,11.62,11.84,11.62,11.74,979652.0
2024-07-03,11.75,11.93,11.71,11.72,1038400.0
2024-07-04,11.71,11.86,11.47,11.52,791132.0
2024-07-05,11.57,11.57,11.26,11.44,744300.0
2024-07-08,11.38,11.42,11.08,11.12,941400.0
2024-07-09,11.12,11.4,10.85,11.36,1006300.0
2024-07-10,11.2,11.39,11.12,11.25,673864.0
2024-07-11,11.32,11.73,11.32,11.68,792000.0
2024-07-12,11.68,11.91,11.55,11.58,600900.0
2024-07-15,11.57,11.6,11.31,11.36,790700.0
2024-07-16,11.27,11.38,10.94,11.04,1604536.0
2024-07-17,11.0,11.11,10.92,11.0,900900.0
2024-07-18,11.0,11.1,10.73,11.09,859900.0
2024-07-19,10.99,11.18,10.93,11.1,704900.0
2024-07-22,11.09,11.17,10.99,11.1,537300.0
2024-07-23,11.1,11.16,10.9,10.9,771700.0
2024-07-24,11.09,11.12,10.78,10.92,930200.0
2024-07-25,10.8,11.15,10.74,10.99,775100.0
2024-07-26,10.99,11.24,10.92,11.2,650148.0
2024-07-29,11.2,11.25,11.11,11.21,581600.0
2024-07-30,11.13,11.26,11.06,11.21,497200.0
2024-07-31,11.21,11.73,11.1,11.67,884940.0
2024-08-01,11.69,11.81,11.51,11.76,1083340.0
2024-08-02,11.78,12.07,11.68,11.76,1765400.0
2024-08-05,11.76,11.88,11.6,11.61,930200.0
2024-08-06,11.6,11.85,11.6,11.82,938400.0
2024-08-07,11.82,12.21,11.71,12.08,1553500.0
2024-08-08,12.1,12.2,11.92,12.12,817300.0
2024-08-09,12.13,12.35,12.13,12.17,1280675.0
2024-08-12,12.2,12.52,12.12,12.33,1477259.0
2024-08-13,12.27,12.53,12.12,12.51,1572400.0
2024-08-14,12.3,12.58,12.3,12.42,1201500.0
2024-08-15,12.43,12.57,12.27,12.35,1748000.0
2024-08-16,12.41,12.41,11.73,11.83,3133789.0
2024-08-19,11.89,11.99,11.71,11.76,1260704.0
2024-08-20,11.69,11.83,11.09,11.18,1672400.0
2024-08-21,11.06,11.3,10.9,10.95,1496900.0
2024-08-22,10.95,10.98,10.51,10.72,1652425.0
2024-08-23,10.72,10.79,10.5,10.56,1472255.0
2024-08-26,10.61,10.65,10.35,10.45,2001145.0
2024-08-27,10.35,10.45,10.14,10.21,1959900.0
2024-08-28,10.06,10.3,10.06,10.17,1512096.0
2024-08-29,10.1,10.42,10.09,10.4,1193565.0
2024-08-30,10.45,10.68,10.28,10.52,1353212.0
