date,open,high,low,close,volume
2024-02-05,4.43,4.68,4.29,4.49,33174216.0
2024-02-06,4.57,4.93,4.42,4.87,58651030.0
2024-02-07,4.8,5.14,4.79,5.03,59334264.0
2024-02-08,5.03,5.08,4.83,5.0,39730104.0
2024-02-19,5.03,5.06,4.92,4.98,28600844.0
2024-02-20,4.97,5.03,4.9,4.99,21056800.0
2024-02-21,4.93,5.1,4.93,5.01,30427422.0
2024-02-22,5.0,5.02,4.94,5.0,21296699.0
2024-02-23,4.99,5.01,4.94,4.99,17019384.0
2024-02-26,4.99,5.05,4.95,5.0,19402623.0
2024-02-27,4.98,5.04,4.97,5.04,14804316.0
2024-02-28,5.07,5.21,5.0,5.01,37571828.0
2024-02-29,4.98,5.09,4.96,5.08,23706573.0
2024-03-01,5.08,5.09,5.04,5.08,15136975.0
2024-03-04,5.08,5.18,5.06,5.11,20806585.0
2024-03-05,5.12,5.12,5.01,5.03,19077470.0
2024-03-06,5.0,5.03,4.96,4.98,15959456.0
2024-03-07,4.98,5.05,4.97,4.99,15357300.0
2024-03-08,4.99,5.29,4.98,5.26,40957704.0
2024-03-11,5.27,5.28,5.16,5.2,24784366.0
2024-03-12,5.21,5.3,5.2,5.23,19992224.0
2024-03-13,5.23,5.24,5.13,5.18,16980985.0
2024-03-14,5.21,5.27,5.14,5.17,13621566.0
2024-03-15,5.17,5.2,5.15,5.2,9545066.0
2024-03-18,5.2,5.25,5.18,5.25,14213866.0
2024-03-19,5.25,5.25,5.18,5.18,15037612.0
2024-03-20,5.18,5.25,5.15,5.24,13573569.0
2024-03-21,5.25,5.33,5.23,5.23,14924500.0
2024-03-22,5.23,5.23,5.12,5.14,18463200.0
2024-03-25,5.13,5.16,5.06,5.06,12324236.0
2024-03-26,5.05,5.1,5.02,5.08,10140371.0
2024-03-27,5.08,5.12,5.02,5.02,10196800.0
2024-03-28,5.02,5.09,5.0,5.05,9005700.0
2024-03-29,5.03,5.22,5.03,5.21,20539033.0
2024-04-01,5.22,5.26,5.18,5.22,12824000.0
2024-04-02,5.22,5.25,5.19,5.25,12565830.0
2024-04-03,5.25,5.3,5.23,5.29,15167447.0
2024-04-08,5.27,5.31,5.23,5.25,13660000.0
2024-04-09,5.24,5.3,5.19,5.3,13604100.0
2024-04-10,5.29,5.38,5.21,5.24,17901182.0
2024-04-11,5.21,5.3,5.2,5.26,10453708.0
2024-04-12,5.27,5.28,5.13,5.15,14467687.0
2024-04-15,5.17,5.3,5.07,5.24,22358520.0
2024-04-16,5.23,5.3,5.12,5.12,18398957.0
2024-04-17,5.16,5.3,5.15,5.3,20657262.0
2024-04-18,5.29,5.53,5.27,5.47,38129633.0
2024-04-19,5.46,5.47,5.38,5.45,19022716.0
2024-04-22,5.42,5.55,5.41,5.42,16983102.0
2024-04-23,5.4,5.44,5.3,5.33,14609500.0
2024-04-24,5.34,5.4,5.29,5.38,10812098.0
2024-04-25,5.33,5.39,5.32,5.37,10309400.0
2024-04-26,5.34,5.41,5.28,5.34,17920691.0
2024-04-29,5.18,5.37,5.18,5.33,30198686.0
2024-04-30,5.33,5.52,5.29,5.45,26439030.0
2024-05-06,5.51,5.62,5.46,5.55,22928580.0
2024-05-07,5.54,5.64,5.52,5.6,22803522.0
2024-05-08,5.6,5.62,5.55,5.59,15473074.0
2024-05-09,5.6,5.78,5.58,5.71,30036444.0
2024-05-10,5.75,5.75,5.66,5.69,16600900.0
2024-05-13,5.68,5.73,5.6,5.64,17616650.0
2024-05-14,5.64,5.92,5.63,5.84,30658130.0
2024-05-15,5.85,5.98,5.81,5.88,27692350.0
2024-05-16,5.92,5.96,5.85,5.88,20488469.0
2024-05-17,5.88,6.01,5.86,5.95,25299774.0
2024-05-20,5.98,6.09,5.98,6.06,23156039.0
2024-05-21,6.08,6.08,6.0,6.01,14271500.0
2024-05-22,6.05,6.06,5.85,5.88,25967742.0
2024-05-23,5.99,6.04,5.69,5.73,49850106.0
2024-05-24,5.73,5.87,5.68,5.71,24482983.0
2024-05-27,5.71,5.98,5.67,5.89,29251156.0
2024-05-28,5.85,5.89,5.74,5.78,17308600.0
2024-05-29,5.74,5.83,5.7,5.79,13904290.0
2024-05-30,5.75,5.93,5.72,5.89,20478459.0
2024-05-31,5.89,6.09,5.82,5.85,19278901.0
2024-06-03,5.81,5.87,5.73,5.76,14739200.0
2024-06-04,5.85,5.88,5.55,5.75,29077881.0
2024-06-05,5.75,5.8,5.56,5.57,23367169.0
2024-06-06,5.57,5.59,5.26,5.35,33395889.0
