code,name,最新价,昨收,涨跌幅%,成交量,成交额
000001,平安银行,11.65,11.59,0.52,83812624.0,973220511.51
000002,万 科Ａ,3.16,3.11,1.61,162809318.0,512016922.05
000006,深振业Ａ,7.48,7.34,1.91,30101024.0,225333356.28
000007,全新好,12.6,12.75,-1.18,6470400.0,82082436.0
000008,神州高铁,2.52,2.49,1.2,36503890.0,91582862.8
000009,中国宝安,7.26,7.25,0.14,14410485.0,104215021.77
000010,*ST美丽,1.6,1.6,0.0,24446600.0,39688776.0
000011,深物业A,9.15,8.32,9.98,12082824.0,107880200.6
000012,南 玻Ａ,3.79,3.77,0.53,18877577.0,71384456.11
000014,沙河股份,11.45,10.97,4.38,12942661.0,147284642.95
000016,*ST康佳A,2.45,2.33,5.15,372481726.0,910789890.44
000017,深中华A,11.45,10.41,9.99,110570517.0,1253143466.62
000019,深粮控股,7.32,7.17,2.09,35499505.0,257623588.14
000020,深华发Ａ,13.08,13.14,-0.46,16104374.0,211213873.44
000021,深科技,37.17,37.85,-1.8,72864863.0,2750359983.33
000025,特 力Ａ,17.06,16.66,2.4,28685839.0,486275056.08
000026,飞亚达,20.07,20.45,-1.86,7802300.0,158529814.0
000027,深圳能源,6.32,6.31,0.16,17910588.0,112739597.64
000028,国药一致,19.98,19.95,0.15,1498807.0,29863655.91
000029,深深房Ａ,23.73,23.63,0.42,4924310.0,117101121.1
000030,富奥股份,4.06,4.24,-4.25,27194450.0,109745378.12
000031,大悦城,2.26,2.21,2.26,38685758.0,86899647.52
000032,深桑达Ａ,14.52,14.82,-2.02,33888924.0,499824305.49
000034,神州数码,24.08,23.64,1.86,24038020.0,575542812.78
000035,中国天楹,4.72,4.67,1.07,25322587.0,118939143.73
000036,华联控股,4.12,4.13,-0.24,24989724.0,103214491.13
000037,深南电A,9.84,9.85,-0.1,17962200.0,175896182.0
000039,中集集团,9.62,9.3,3.44,37889552.0,361672696.4
000042,中洲控股,8.69,8.55,1.64,5572971.0,47899793.16
000045,深纺织Ａ,11.12,10.75,3.44,12334068.0,136365629.41
000048,京基智农,22.17,22.45,-1.25,9743702.0,218010257.5
000049,德赛电池,23.53,23.59,-0.25,5151812.0,121327915.43
000050,深天马Ａ,6.72,6.67,0.75,16797120.0,112816534.4
000055,方大集团,3.61,3.58,0.84,7790849.0,27983322.93
000056,*ST皇庭,2.08,2.06,0.97,20176800.0,42290220.0
000058,深 赛 格,7.18,6.89,4.21,14178450.0,100577631.07
000059,华锦股份,5.57,5.06,10.08,98089558.0,539433633.75
000060,中金岭南,6.93,6.84,1.32,164310553.0,1131507166.26
000061,农 产 品,6.44,6.28,2.55,41007700.0,260552855.72
000062,深圳华强,24.85,22.59,10.0,60959655.0,1472468301.27
000063,中兴通讯,33.63,33.96,-0.97,53136332.0,1794111237.13
000065,北方国际,10.23,9.95,2.81,41944844.0,425550976.74
000066,中国长城,14.26,14.36,-0.7,67901416.0,975670247.93
000068,华控赛格,3.3,3.18,3.77,24939382.0,80990714.2
000069,华侨城Ａ,1.83,1.79,2.23,53838330.0,97764107.6
000070,特发信息,15.91,16.5,-3.58,77000115.0,1243095115.66
000078,ST海王,1.61,1.62,-0.62,36598074.0,59014137.54
000088,盐 田 港,4.53,4.54,-0.22,26678145.0,120615855.98
000089,深圳机场,6.56,6.49,1.08,16132653.0,105240574.97
000090,天健集团,3.58,3.52,1.7,19206852.0,69023849.53
000096,广聚能源,8.28,8.15,1.6,9602049.0,78811126.79
000099,中信海直,13.77,13.69,0.58,8035455.0,110645122.29
000100,TCL科技,4.96,4.97,-0.2,368719035.0,1824666126.23
000151,中成股份,10.24,10.12,1.19,5409595.0,55074291.25
000153,丰原药业,6.45,6.45,0.0,20271120.0,130183602.2
000155,川能动力,12.35,12.12,1.9,47127370.0,579595880.97
000156,华数传媒,6.93,6.82,1.61,8459400.0,58403469.0
000157,中联重科,6.82,7.09,-3.81,96812476.0,661881466.36
000158,常山北明,12.61,12.71,-0.79,24833491.0,317061789.7
000159,国际实业,6.07,6.05,0.33,8729702.0,52912294.1
000166,申万宏源,4.58,4.57,0.22,57339416.0,261858098.85
000301,东方盛虹,14.1,13.63,3.45,48924604.0,678989441.57
000333,美的集团,86.23,86.18,0.06,16936204.0,1459282370.06
000338,潍柴动力,27.64,26.99,2.41,204512902.0,5513740208.34
000400,许继电气,21.85,22.04,-0.86,9640305.0,210058200.65
000401,金隅冀东,3.66,3.62,1.1,10027170.0,36595167.91
000402,金 融 街,2.55,2.5,2.0,45903188.0,116528125.9
000403,派林生物,10.59,10.67,-0.75,4893628.0,51931684.52
000404,长虹华意,7.12,7.13,-0.14,7339400.0,52233377.0
000407,胜利股份,4.22,4.17,1.2,13961029.0,58528971.8
000408,藏格矿业,79.0,78.83,0.22,8542400.0,671760622.26
000409,云鼎科技,8.78,8.81,-0.34,5442339.0,47784357.25
000410,沈阳机床,5.2,5.16,0.78,13799901.0,71501627.18
000411,英特集团,9.89,9.81,0.82,4281280.0,42447801.2
000415,渤海租赁,4.49,4.48,0.22,45830527.0,205627844.23
000417,合百集团,5.79,5.73,1.05,19024660.0,109695614.4
000419,通程控股,5.06,4.96,2.02,6817100.0,34207853.0
000420,吉林化纤,3.78,3.68,2.72,79643626.0,297523672.96
000421,南京公用,5.78,5.71,1.23,9662514.0,55543109.8
000422,湖北宜化,13.13,12.57,4.46,49782383.0,642161579.27
000423,东阿阿胶,49.12,48.99,0.27,4688800.0,229579832.0
000425,徐工机械,7.95,8.01,-0.75,151532662.0,1193904579.51
000426,兴业银锡,41.58,40.69,2.19,69853908.0,2871360282.01
000428,华天酒店,4.55,4.61,-1.3,65240385.0,295109954.12
000429,粤高速Ａ,13.39,13.43,-0.3,4917037.0,66046527.98
000430,张家界,7.02,6.89,1.89,10852500.0,75723626.0
000488,ST晨鸣,1.93,1.91,1.05,9616101.0,18561211.93
000498,山东路桥,4.97,4.94,0.61,8723045.0,43302214.2
000501,武商集团,7.29,7.3,-0.14,9593330.0,69353861.1
000503,国新健康,6.99,6.91,1.16,10264555.0,71767382.86
000504,南华生物,8.4,8.41,-0.12,4298599.0,35947597.66
000505,京粮控股,7.34,7.21,1.8,95443137.0,696199500.16
000506,招金黄金,21.43,22.08,-2.94,132782885.0,2819852142.29
000507,珠海港,5.1,5.03,1.39,13520921.0,68653936.28
000509,华塑控股,3.53,3.52,0.28,17642800.0,62646900.0
000510,新金路,17.73,17.41,1.84,54302146.0,973651482.56
000513,丽珠集团,26.76,26.27,1.87,9307799.0,249050371.54
000514,渝 开 发,4.17,4.08,2.21,10260177.0,42617246.7
000516,国际医学,4.16,4.18,-0.48,11210300.0,46615257.0
000517,荣安地产,2.23,2.28,-2.19,44458399.0,99823871.72
000518,四环生物,3.88,3.95,-1.77,35369589.0,138876929.66
000519,中兵红箭,14.43,14.37,0.42,23247706.0,335759163.0
000520,凤凰航运,4.25,4.22,0.71,25421100.0,108233012.0
000521,长虹美菱,4.85,4.86,-0.21,3885300.0,18848398.0
000523,红棉股份,3.54,3.42,3.51,111318180.0,392659714.2
000524,岭南控股,10.19,9.9,2.93,17295654.0,175719466.89
000525,红太阳,4.84,4.67,3.64,44242676.0,211508658.82
000526,学大教育,35.22,35.16,0.17,4127900.0,146179774.0
000528,柳 工,7.87,7.95,-1.01,27958762.0,219699411.6
000529,广弘控股,5.02,4.99,0.6,4192053.0,21018223.59
000530,冰山冷热,5.16,5.14,0.39,11323900.0,58358315.0
000531,穗恒运Ａ,5.72,5.68,0.7,5805171.0,33070198.81
000532,华金资本,11.28,11.36,-0.7,3659500.0,41341724.0
000533,顺钠股份,11.84,11.66,1.54,103753995.0,1226359906.19
000534,万泽股份,23.2,23.8,-2.52,18242870.0,423716196.32
000536,华映科技,3.54,3.51,0.85,110458057.0,389409976.78
000537,绿发电力,7.58,7.67,-1.17,15799498.0,119864413.96
000538,云南白药,50.0,49.99,0.02,5114160.0,255210429.2
000539,粤电力Ａ,5.3,5.36,-1.12,34166350.0,181176753.57
000541,佛山照明,4.93,4.91,0.41,4060000.0,19980181.61
000543,皖能电力,7.43,7.43,0.0,14167235.0,104931574.5
000544,中原环保,7.33,7.32,0.14,3048300.0,22343508.0
000545,金浦钛业,2.69,2.64,1.89,36766858.0,98203754.12
000546,金圆股份,4.86,4.81,1.04,13764000.0,66664674.0
000547,航天发展,14.16,14.04,0.85,48945136.0,691394487.68
000548,湖南投资,4.61,4.55,1.32,6739401.0,30942359.65
000550,江铃汽车,16.34,16.09,1.55,4720186.0,76811569.38
000551,创元科技,12.52,12.68,-1.26,11999098.0,151198802.38
000552,甘肃能化,2.73,2.65,3.02,109335405.0,295627145.35
000553,安道麦A,5.72,5.64,1.42,9900868.0,56247617.8
000554,泰山石油,6.66,6.46,3.1,20407243.0,134487748.24
000555,神州信息,10.7,10.82,-1.11,15002900.0,162396124.0
000557,西部创业,3.76,3.68,2.17,12018176.0,44891898.32
000558,天府文旅,3.68,3.6,2.22,36172817.0,132530307.24
000559,万向钱潮,11.08,11.38,-2.64,32933741.0,368465766.41
000560,我爱我家,2.64,2.4,10.0,248703826.0,642316327.8
000561,烽火电子,7.79,7.82,-0.38,6777200.0,52784818.14
000563,陕国投Ａ,3.05,3.07,-0.65,52183749.0,158737738.96
000564,供销大集,1.56,1.52,2.63,457600447.0,700752368.19
000565,渝三峡Ａ,6.62,6.02,9.97,23189945.0,146280396.41
000566,海南海药,5.04,5.05,-0.2,106377234.0,533357636.33
000567,海德股份,7.01,6.37,10.05,84726976.0,568131933.05
000568,泸州老窖,78.44,77.51,1.2,10116697.0,791044521.01
000570,苏常柴Ａ,5.24,5.16,1.55,12204713.0,63644045.25
000571,新大洲A,6.26,6.4,-2.19,21836600.0,139136281.0
000572,海马汽车,3.94,3.92,0.51,31337480.0,123507876.7
000573,粤宏远Ａ,3.84,3.73,2.95,15872047.0,60316618.27
000576,甘化科工,8.16,8.0,2.0,63862854.0,517329517.69
000581,威孚高科,18.05,18.31,-1.42,11745002.0,212221521.1
000582,北部湾港,11.12,10.89,2.11,35684540.0,395552103.74
000586,汇源通信,13.77,14.41,-4.44,24579338.0,342113626.26
000589,贵州轮胎,4.37,4.33,0.92,23763196.0,103354892.16
000590,古汉医药,9.58,9.34,2.57,5428300.0,51606135.0
000591,太阳能,4.33,4.32,0.23,30054647.0,129821426.96
000592,平潭发展,7.01,6.81,2.94,377040709.0,2635200221.08
000593,德龙汇能,22.63,22.89,-1.14,17100222.0,395496104.77
000595,新能股份,5.73,5.75,-0.35,28606546.0,165087471.72
000596,古井贡酒,93.9,92.17,1.88,3826922.0,354684621.31
000597,东北制药,5.05,5.12,-1.37,15551139.0,78833412.77
000598,兴蓉环境,7.2,7.15,0.7,17301387.0,124673564.77
000599,青岛双星,4.77,4.73,0.85,6869881.0,32617241.78
000600,建投能源,8.0,7.97,0.38,17738351.0,141333238.6
000601,韶能股份,6.18,6.26,-1.28,25194788.0,155775044.7
000603,盛达资源,38.59,37.98,1.61,67779247.0,2577448318.42
000605,渤海股份,5.99,5.91,1.35,3428140.0,20462938.2
000607,华媒控股,3.7,3.67,0.82,10173750.0,37559428.0
000608,阳光股份,7.39,7.4,-0.14,27806280.0,208523710.2
000609,*ST中迪,10.05,10.2,-1.47,5313600.0,53693894.0
000610,*ST西旅,6.83,6.64,2.86,10939900.0,74677171.0
000612,焦作万方,11.46,11.27,1.69,39964959.0,453698960.99
000615,*ST美谷,3.3,3.31,-0.3,5067610.0,16693791.1
000617,中油资本,7.4,7.49,-1.2,111515622.0,828638276.02
000619,海螺新材,5.03,4.94,1.82,5674800.0,28350090.0
000620,盈新发展,3.38,3.45,-2.03,303028239.0,1031213060.04
000623,吉林敖东,18.62,18.68,-0.32,11005605.0,204248208.2
000625,长安汽车,7.1,7.1,0.0,29941927.0,212667098.71
000626,远大控股,9.41,8.55,10.06,29624954.0,271272589.14
000628,高新发展,48.12,47.07,2.23,11347158.0,547282019.26
000629,钒钛股份,3.11,3.09,0.65,93271194.0,288733715.72
000630,铜陵有色,6.76,6.76,0.0,321118938.0,2164853324.82
000631,顺发恒能,2.98,2.94,1.36,11883153.0,35349374.37
000632,ST三木,4.39,4.27,2.81,26042407.0,112160293.95
000633,合金投资,5.43,5.39,0.74,5257600.0,28428138.0
000635,英 力 特,0.0,6.56,-100.0,0.0,0.0
000636,风华高科,55.45,54.11,2.48,162462608.0,9086726733.0
000637,茂化实华,4.27,4.14,3.14,12098947.0,51331180.69
000639,ST西王,1.75,1.73,1.16,51520228.0,90690122.0
000650,仁和药业,5.57,5.54,0.54,23918224.0,132387362.78
000651,格力电器,39.0,39.27,-0.69,49487325.0,1919618302.4
000652,泰达股份,3.54,3.52,0.57,12410700.0,43792269.0
000655,金岭矿业,7.55,7.35,2.72,12097240.0,90012030.38
000656,金科股份,1.29,1.29,0.0,327091547.0,415401781.33
000657,中钨高新,66.76,67.54,-1.15,84019512.0,5665503809.41
000659,珠海中富,2.94,2.87,2.44,29450448.0,85962777.08
000661,长春高新,75.92,77.04,-1.45,4467408.0,340198369.73
000663,永安林业,5.99,5.8,3.28,11398000.0,67646373.0
000665,湖北广电,3.94,3.93,0.25,11863340.0,46668995.0
000668,荣丰控股,22.7,22.66,0.18,3249100.0,73640896.0
000669,ST金鸿,4.26,4.11,3.65,7996000.0,33583017.5
000670,盈方微,6.99,7.04,-0.71,35187500.0,248876083.0
000672,上峰材料,14.39,14.51,-0.83,12901083.0,186520266.47
000676,智度股份,6.67,6.7,-0.45,60016896.0,403076662.53
000677,ST海龙,1.85,1.86,-0.54,46732885.0,85978587.05
000678,襄阳轴承,8.86,8.98,-1.34,10761401.0,95859743.84
000679,大连友谊,6.31,6.34,-0.47,4776700.0,30277779.0
000680,山推股份,10.38,10.4,-0.19,16608597.0,171295726.58
000681,视觉中国,16.53,16.45,0.49,23076298.0,385110415.92
000682,东方电子,11.53,11.64,-0.95,9943364.0,114779663.48
000683,博源化工,6.36,6.22,2.25,88027838.0,552451887.38
000685,中山公用,11.42,11.33,0.79,15231578.0,173571470.76
000686,东北证券,8.14,8.14,0.0,19463882.0,157773953.2
000688,国城矿业,31.5,31.01,1.58,22269894.0,696765895.8
000690,宝新能源,4.9,4.91,-0.2,36726149.0,179625884.59
000691,亚太实业,10.14,10.56,-3.98,10355150.0,106588243.0
000692,惠天热电,4.35,4.38,-0.68,14484900.0,62854077.0
000695,滨海能源,14.87,15.16,-1.91,9744300.0,146187294.0
000697,炼石航空,8.55,8.47,0.94,5820646.0,49770811.29
000698,ST沈化,3.65,3.61,1.11,3601955.0,13020599.55
000700,模塑科技,11.21,11.68,-4.02,40412335.0,459134590.8
000701,厦门信达,5.16,5.1,1.18,13383800.0,68831342.0
000702,正虹科技,5.75,5.6,2.68,6316792.0,35918088.08
000703,恒逸石化,19.49,19.2,1.51,93911707.0,1821312529.62
000705,浙江震元,7.21,7.21,0.0,3901900.0,28146690.0
000707,双环科技,4.73,4.64,1.94,8168856.0,38362515.64
000708,中信特钢,13.96,13.95,0.07,9320602.0,129890564.84
000709,河钢股份,2.15,2.13,0.94,88988568.0,190260376.09
000710,贝瑞基因,9.03,9.39,-3.83,30048451.0,273053905.02
000711,ST京蓝,0.0,6.25,-100.0,0.0,0.0
000712,锦龙股份,11.8,10.73,9.97,15156375.0,178845225.0
000713,国投丰乐,6.69,6.44,3.88,43482529.0,289665479.53
000715,中兴商业,5.72,5.68,0.7,13254249.0,75744253.41
000716,黑芝麻,5.67,5.15,10.1,76317090.0,419217192.4
000717,中南股份,2.34,2.27,3.08,38175200.0,88713628.0
000718,苏宁环球,1.98,1.94,2.06,30130687.0,59342279.39
000719,中原传媒,11.6,11.61,-0.09,3096130.0,35950922.7
000720,新能泰山,3.91,3.91,0.0,38747000.0,151178049.03
000721,西安饮食,6.95,6.88,1.02,18443400.0,128022182.0
000722,湖南发展,13.02,12.94,0.62,9612883.0,124468781.03
000723,美锦能源,3.95,3.9,1.28,117430717.0,461560131.48
000725,京东方Ａ,5.92,5.94,-0.34,1033863610.0,6122550807.11
000726,鲁 泰Ａ,6.02,5.97,0.84,5916134.0,35527867.68
000727,冠捷科技,2.31,2.28,1.32,65926250.0,151861164.5
000728,国元证券,7.7,7.72,-0.26,37858968.0,291110953.02
000729,燕京啤酒,11.55,11.48,0.61,14417503.0,165496091.86
