代码,名称,最新价,今日涨幅%,支撑价,破底最低,破底深度%,收回幅度%,距60日高跌幅%,距年高跌幅%,历史分位%,量比vs5日均,MA5,MA20,confidence
sz300386,飞天诚信,12.37,19.98,12.35,9.81,20.6,0.2,21.4,48.5,8.8,4.67,10.62,10.94,74
sz300180,华峰超纤,4.78,5.52,4.72,4.32,8.5,1.3,28.6,54.1,3.2,3.11,4.53,4.79,72
sz002928,华夏航空,7.4,3.21,7.11,6.41,9.8,4.1,17.1,40.7,5.2,1.12,7.08,7.31,71
sz300046,台基股份,31.0,1.34,29.41,27.07,8.0,5.4,17.6,40.1,7.2,1.19,29.64,31.23,71
sz000536,华映科技,3.85,6.06,3.8,3.45,9.2,1.3,18.3,41.7,2.8,1.84,3.61,3.99,70
sh600850,电科数字,19.88,5.63,19.59,18.13,7.5,1.5,22.9,44.7,5.6,1.54,18.84,21.35,70
sh605288,凯迪股份,78.99,7.47,78.9,63.51,19.5,0.1,31.3,46.6,26.4,2.32,70.57,90.85,69
sz002225,濮耐股份,4.42,4.49,4.27,3.66,14.3,3.5,24.6,42.7,10.0,1.4,4.21,4.01,69
sh603312,西典新能,37.87,0.56,36.6,32.91,10.1,3.5,19.2,41.6,15.6,0.86,35.78,37.26,69
sz301617,博苑新材,54.88,3.61,52.32,49.0,6.3,4.9,22.3,50.1,30.0,1.29,53.83,55.08,68
sh603815,交建股份,5.93,2.24,5.61,5.42,3.4,5.7,23.7,60.3,5.6,1.44,5.91,6.34,68
sz002779,中坚科技,84.44,1.74,71.0,65.0,8.5,18.9,16.2,42.2,27.6,0.78,83.64,76.1,68
sh688790,昂瑞微,129.05,2.3,128.02,115.27,10.0,0.8,22.3,47.1,12.5,1.27,123.8,131.01,66
sh603501,豪威集团,90.12,2.18,89.61,85.08,5.1,0.6,17.4,42.8,1.6,1.03,87.64,95.88,66
sz301325,曼恩斯特,40.48,0.77,39.6,35.72,9.8,2.2,22.6,44.2,2.0,0.73,38.29,42.99,66
sh688159,有方科技,48.0,1.27,42.8,41.03,4.1,12.1,34.8,43.5,24.0,1.16,45.37,47.56,65
